,Train ACC,Valid ACC,Test ACC,Length of outliers,Time
0,tensor(1.),tensor(0.7388),0.7333,200,0.0
1,tensor(1.),tensor(0.8101),0.7333,300,532.7858111858368
2,tensor(1.),tensor(0.8189),0.8127,250,518.851438999176
3,tensor(1.),tensor(0.8211),0.818,250,535.5419020652771
4,tensor(1.),tensor(0.8224),0.8208,250,557.7696015834808
5,tensor(1.),tensor(0.8263),0.8205,250,577.722359418869
6,tensor(1.),tensor(0.8301),0.8235,250,609.2414679527283
7,tensor(1.),tensor(0.8334),0.8279,250,619.8382272720337
8,tensor(1.),tensor(0.8333),0.8328,250,629.2663254737854
9,tensor(1.),tensor(0.8438),0.8359,250,654.4780406951904
10,tensor(1.),tensor(0.8467),0.8383,250,660.1075792312622
11,tensor(1.),tensor(0.8462),0.837,250,659.1508500576019
12,tensor(1.),tensor(0.8453),0.8383,250,710.5658347606659
13,tensor(1.),tensor(0.8430),0.8434,250,764.2580690383911
14,tensor(1.),tensor(0.8463),0.8433,250,1100.778388261795
15,tensor(1.),tensor(0.8470),0.8437,250,1114.4732854366302
16,tensor(1.),tensor(0.8467),0.8432,250,806.0484228134155
17,tensor(1.),tensor(0.8455),0.8446,250,769.7333381175995
18,tensor(1.),tensor(0.8479),0.8459,250,791.6487197875977
19,tensor(1.),tensor(0.8467),0.8494,250,808.7680740356445
20,tensor(1.),tensor(0.8457),0.8494,250,825.8060541152954
21,tensor(1.),tensor(0.8509),0.8493,250,846.1003170013428
22,tensor(1.),tensor(0.8483),0.8471,250,858.2861144542694
23,tensor(1.),tensor(0.8482),0.8479,250,882.0738065242767
24,tensor(1.),tensor(0.8516),0.8488,250,898.841705083847
25,tensor(1.),tensor(0.8517),0.8545,250,921.5594010353088
26,tensor(1.),tensor(0.8514),0.8482,250,941.4657251834869
27,tensor(1.),tensor(0.8551),0.8532,250,952.0292036533356
28,tensor(1.),tensor(0.8527),0.8544,250,978.4260323047638
29,tensor(1.),tensor(0.8565),0.8519,250,995.0465214252472
30,tensor(1.),tensor(0.8529),0.8522,250,886.6940031051636
31,tensor(1.),tensor(0.8518),0.8506,250,734.9971296787262
32,tensor(1.),tensor(0.8574),0.8496,250,748.0475168228149
33,tensor(1.),tensor(0.8559),0.8521,250,749.3577628135681
34,tensor(1.),tensor(0.8566),0.8499,250,764.5254967212677
35,tensor(1.),tensor(0.8550),0.8503,250,782.3284542560577
36,tensor(1.),tensor(0.8572),0.8466,250,788.7864661216736
37,tensor(1.),tensor(0.8380),0.852,250,802.2815778255463
38,tensor(1.),tensor(0.8433),0.8435,250,811.7260980606079
39,tensor(1.),tensor(0.8533),0.8396,250,838.997138261795
40,tensor(1.),tensor(0.8563),0.8464,250,838.5925025939941
41,tensor(1.),tensor(0.8563),0.8492,250,855.8569436073303
42,tensor(1.),tensor(0.8538),0.8519,250,867.8573896884918
43,tensor(1.),tensor(0.8537),0.8501,250,884.5723555088043
44,tensor(1.),tensor(0.8521),0.8512,250,893.3040292263031
45,tensor(1.),tensor(0.8598),0.8477,250,901.4202878475189
46,tensor(1.),tensor(0.8506),0.8532,250,912.9513759613037
47,tensor(1.),tensor(0.8543),0.8474,250,928.651529788971
48,tensor(1.),tensor(0.8618),0.8511,250,945.1385200023651
49,tensor(1.),tensor(0.8614),0.8589,250,956.0740196704865
50,tensor(1.),tensor(0.8656),0.8595,250,965.8075203895569
51,tensor(1.),tensor(0.8633),0.8572,250,985.1997168064117
52,tensor(1.),tensor(0.8641),0.8573,250,1046.8972449302673
53,,,0.8607,,
