,Test ACC,Length of outliers,Time
0,0.6395,200.0,0.0
1,0.6386,300.0,112.13160967826843
2,0.649,250.0,195.66825151443481
3,0.661,250.0,134.36346077919006
4,0.6745,250.0,131.92840242385864
5,0.6692,250.0,133.8804280757904
6,0.6956,250.0,130.03293991088867
7,0.6932,250.0,128.8745949268341
8,0.712,250.0,132.21532106399536
9,0.7178,250.0,129.04992079734802
10,0.7159,250.0,129.88110280036926
11,0.7264,250.0,132.82176661491394
12,0.7399,250.0,132.52112483978271
13,0.738,250.0,132.94483852386475
14,0.7455,250.0,128.54119873046875
15,0.7566,250.0,133.03429508209229
16,0.7448,250.0,132.5943787097931
17,0.7675,250.0,127.55575203895569
18,0.7696,250.0,132.4348316192627
19,0.7732,250.0,131.79458594322205
20,0.7761,250.0,132.0982871055603
21,0.7808,250.0,131.64901542663574
22,0.7871,250.0,131.78245615959167
23,0.79,250.0,127.56046962738037
24,0.7869,250.0,131.3743302822113
25,0.7893,250.0,132.08899235725403
26,0.8024,250.0,131.26862025260925
27,0.8005,250.0,135.86320972442627
