,Test ACC,Length of outliers,Time
0,0.713,200.0,0.0009984970092773438
1,0.713,300.0,775.539608001709
2,0.7171,250.0,754.6039078235626
3,0.7694,250.0,765.7312805652618
4,0.7216,250.0,793.3680608272552
5,0.7481,250.0,813.5768728256226
6,0.8003,250.0,833.4785714149475
7,0.8001,250.0,855.6337931156158
8,0.7901,250.0,880.6755557060242
9,0.7911,250.0,896.4508423805237
10,0.7895,250.0,943.4427423477173
11,0.7846,250.0,953.9723613262177
12,0.8242,250.0,966.5157878398895
13,0.8022,250.0,985.572573184967
14,0.8293,250.0,862.2834241390228
15,0.8199,250.0,698.3843638896942
16,0.8308,250.0,719.3756859302521
17,0.8297,250.0,734.7152197360992
18,0.8275,250.0,759.6060593128204
19,0.8343,250.0,771.1400706768036
20,0.8341,250.0,773.9531493186951
21,0.8322,250.0,789.54998254776
22,0.8411,250.0,802.785386800766
23,0.8439,250.0,820.0029082298279
24,0.837,250.0,833.5401561260223
25,0.8346,250.0,858.0231392383575
26,0.8299,250.0,864.7127161026001
27,0.8467,250.0,873.9626500606537
28,0.8464,,
