,Test ACC,Length of outliers,Time
0,0.8072,200.0,0.0
1,0.8139,100.0,201.51647853851318
2,0.819,100.0,233.34461522102356
3,0.8242,100.0,207.3674042224884
4,0.8305,100.0,203.19078826904297
5,0.838,100.0,200.06572198867798
6,0.8436,100.0,197.5951509475708
7,0.8473,100.0,224.37348794937134
8,0.852,100.0,215.31293201446533
9,0.8592,100.0,197.6176416873932
10,0.8642,100.0,133.02033495903015
11,0.8686,100.0,114.56870865821838
12,0.8788,100.0,114.36259508132935
13,0.8805,100.0,119.94798493385315
14,0.8861,100.0,147.22320342063904
15,0.8882,100.0,266.13507604599
16,0.896,100.0,226.86075973510742
17,0.8975,100.0,211.63715481758118
18,0.8979,100.0,208.48965454101562
